,Genus,value,Type
270,Treponema,NA,PC04924-MSA1001_Diff
271,Turicibacter,NA,PC04924-MSA1001_Diff
272,uncultured,NA,PC04924-MSA1001_Diff
273,Veillonella,NA,PC04924-MSA1001_Diff
274,Weissella,NA,PC04924-MSA1001_Diff
275,Acinetobacter,93.30586586,PC04924-MSA1002_Diff
276,Actinomyces,-76.48982712,PC04924-MSA1002_Diff
277,Alistipes,NA,PC04924-MSA1002_Diff
278,Anaerostipes,NA,PC04924-MSA1002_Diff
279,Bacillus,348.9444846,PC04924-MSA1002_Diff
280,Bacteroides,59.13434991,PC04924-MSA1002_Diff
281,Bifidobacterium,-36.05317929,PC04924-MSA1002_Diff
282,Bilophila,NA,PC04924-MSA1002_Diff
283,Clostridium,NA,PC04924-MSA1002_Diff
284,Lachnoclostridium,NA,PC04924-MSA1002_Diff
285,Collinsella,NA,PC04924-MSA1002_Diff
286,Coprobacillus,NA,PC04924-MSA1002_Diff
287,Cryptococcus,NA,PC04924-MSA1002_Diff
288,Deinococcus,-80.24890626,PC04924-MSA1002_Diff
289,Enterococcus,-48.43477892,PC04924-MSA1002_Diff
290,Escherichia-Shigella,-10.18561781,PC04924-MSA1002_Diff
291,Fusobacterium,NA,PC04924-MSA1002_Diff
292,Helicobacter,-36.83897549,PC04924-MSA1002_Diff
293,Lactobacillus,-37.39115661,PC04924-MSA1002_Diff
294,Listeria,NA,PC04924-MSA1002_Diff
295,Neisseria,-40.44939048,PC04924-MSA1002_Diff
296,Paenibacillus,NA,PC04924-MSA1002_Diff
297,Parabacteroides,NA,PC04924-MSA1002_Diff
298,Pediococcus,NA,PC04924-MSA1002_Diff
299,Porphyromonadaceae,NA,PC04924-MSA1002_Diff
300,Propionibacterium,-100,PC04924-MSA1002_Diff
301,Pseudomonas,-100,PC04924-MSA1002_Diff
302,Pyramidobacter,NA,PC04924-MSA1002_Diff
303,Ralstonia,NA,PC04924-MSA1002_Diff
304,Rhodobacter,NA,PC04924-MSA1002_Diff
305,Saccharomyces,NA,PC04924-MSA1002_Diff
306,Salmonella,NA,PC04924-MSA1002_Diff
307,Staphylococcus,-0.490591683,PC04924-MSA1002_Diff
308,Streptococcus,-60.43409931,PC04924-MSA1002_Diff
309,Subdoligranulum,NA,PC04924-MSA1002_Diff
310,Abiotrophia,NA,PC04924-MSA1002_Diff
311,Acetanaerobacterium,NA,PC04924-MSA1002_Diff
312,Acidaminococcus,NA,PC04924-MSA1002_Diff
313,Actinobacillus,NA,PC04924-MSA1002_Diff
314,Adlercreutzia,NA,PC04924-MSA1002_Diff
315,Akkermansia,NA,PC04924-MSA1002_Diff
316,Alcaligenes,NA,PC04924-MSA1002_Diff
317,Alkanindiges,NA,PC04924-MSA1002_Diff
318,Alloprevotella,NA,PC04924-MSA1002_Diff
319,Anaerococcus,NA,PC04924-MSA1002_Diff
320,Anaerofilum,NA,PC04924-MSA1002_Diff
321,Anaerofustis,NA,PC04924-MSA1002_Diff
322,Anaeromyxobacter,NA,PC04924-MSA1002_Diff
323,Anaerosporobacter,NA,PC04924-MSA1002_Diff
324,Anaerotruncus,NA,PC04924-MSA1002_Diff
325,Arthrobacter,NA,PC04924-MSA1002_Diff
326,Atopobium,NA,PC04924-MSA1002_Diff
327,Azospirillum,NA,PC04924-MSA1002_Diff
328,Basidiomycota,NA,PC04924-MSA1002_Diff
329,Bergeyella,NA,PC04924-MSA1002_Diff
330,Blautia,NA,PC04924-MSA1002_Diff
331,Bradyrhizobium,NA,PC04924-MSA1002_Diff
332,Brevundimonas,NA,PC04924-MSA1002_Diff
333,Bryobacter,NA,PC04924-MSA1002_Diff
334,Butyricimonas,NA,PC04924-MSA1002_Diff
335,Campylobacter,NA,PC04924-MSA1002_Diff
336,Candidatus Planktophila,NA,PC04924-MSA1002_Diff
337,Capnocytophaga,NA,PC04924-MSA1002_Diff
338,Christensenella,NA,PC04924-MSA1002_Diff
339,Clostridium sensu stricto 1,NA,PC04924-MSA1002_Diff
340,Coprococcus,NA,PC04924-MSA1002_Diff
341,Corynebacterium,NA,PC04924-MSA1002_Diff
342,Desulfovibrio,NA,PC04924-MSA1002_Diff
343,Devosia,NA,PC04924-MSA1002_Diff
344,Dialister,NA,PC04924-MSA1002_Diff
345,Dolosigranulum,NA,PC04924-MSA1002_Diff
346,Dorea,NA,PC04924-MSA1002_Diff
347,Eggerthella,NA,PC04924-MSA1002_Diff
348,Eggerthia,NA,PC04924-MSA1002_Diff
349,Enterorhabdus,NA,PC04924-MSA1002_Diff
350,Faecalibacterium,NA,PC04924-MSA1002_Diff
351,Finegoldia,NA,PC04924-MSA1002_Diff
352,Flavonifractor,NA,PC04924-MSA1002_Diff
353,Gemella,NA,PC04924-MSA1002_Diff
354,Gordonibacter,NA,PC04924-MSA1002_Diff
355,Granulicatella,NA,PC04924-MSA1002_Diff
356,Haemophilus,NA,PC04924-MSA1002_Diff
357,Holdemania,NA,PC04924-MSA1002_Diff
358,Incertae Sedis,NA,PC04924-MSA1002_Diff
359,Intestinimonas,NA,PC04924-MSA1002_Diff
360,Lachnoanaerobaculum,NA,PC04924-MSA1002_Diff
361,Lachnospira,NA,PC04924-MSA1002_Diff
362,Lactococcus,NA,PC04924-MSA1002_Diff
363,Lautropia,NA,PC04924-MSA1002_Diff
364,Leptotrichia,NA,PC04924-MSA1002_Diff
365,Leuconostoc,NA,PC04924-MSA1002_Diff
366,Lysobacter,NA,PC04924-MSA1002_Diff
367,Marvinbryantia,NA,PC04924-MSA1002_Diff
368,Massilia,NA,PC04924-MSA1002_Diff
369,Megasphaera,NA,PC04924-MSA1002_Diff
370,Methylobacterium,NA,PC04924-MSA1002_Diff
371,Mogibacterium,NA,PC04924-MSA1002_Diff
372,Moraxella,NA,PC04924-MSA1002_Diff
373,Mycobacterium,NA,PC04924-MSA1002_Diff
374,Nevskia,NA,PC04924-MSA1002_Diff
