StudyID	SampleID	Plate	Row	Column	Type	Method	Kit	SeqName	Robots	Batch	Residual
SC249394.PC04924.G03	SC249394	PC04924	G	3	RG	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249398.PC04924.C04	SC249398	PC04924	C	4	RG	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249385.PC04924.G02	SC249385	PC04924	G	2	RG	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC249382.PC04924.D02	SC249382	PC04924	D	2	RG	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC261516.PC04925.H10	SC261516	PC04925	H	10	RG	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Residual
SC249396.PC04924.A04	SC249396	PC04924	A	4	Study	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249405.PC04924.A05	SC249405	PC04924	A	5	Study	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249399.PC04924.D04	SC249399	PC04924	D	4	Study	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249401.PC04924.F04	SC249401	PC04924	F	4	Study	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC261523.PC04925.G10	SC261523	PC04925	G	10	Study	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Residual
SC249396.PC04925.A02	SC249396	PC04925	A	2	Study	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249405.PC04925.C02	SC249405	PC04925	C	2	Study	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249390.PC04924.C03	SC249390	PC04924	C	3	ZymoC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC249391.PC04924.D03	SC249391	PC04924	D	3	ZymoC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC249395.PC04924.H03	SC249395	PC04924	H	3	ZymoC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249404.PC04924.H04	SC249404	PC04924	H	4	ZymoC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	2	Original
SC249391.PC04925.H01	SC249391	PC04925	H	1	ZymoC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Original
SC261522.PC04925.F11	SC261522	PC04925	F	11	ZymoC	ZymoBiomics	Zymo.MagBead.D.Kit	0	Manual	1	Residual
